"Volume of main cargo across sea-ports managed by the central level by Kind of goods and sea-port and Year"

"Kind of goods and sea-port";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"TOTAL";14487.9;15435.0;15032.0;17141.1;17424.7;21902.5;30567.8;28713.9;34019.1;33860.8;38328.0;39045.4;46246.8;52062.8;60309.8;60924.8;64270.7;67045.8;69284.2;73410.3
"Goods for exportation";3737.1;4379.0;4647.6;4788.1;5262.1;5460.9;8530.7;6973.8;7118.4;6922.4;9916.0;9640.9;11661.1;14746.7;18869.7;17476.5;19290.7;22474.0;23857.7;24864.3
"Goods for importation";7903.2;7531.9;6678.3;7489.0;6626.6;9293.0;13447.4;11688.5;13574.9;14798.4;14859.0;15401.2;17855.6;19102.3;21993.9;21179.9;21224.7;20820.3;21866.8;20299.0
"Domestic goods";2823.2;3524.9;3706.5;4864.0;5536.0;7148.6;8589.6;10051.6;13325.8;12140.0;13553.0;14003.3;16730.1;18213.8;19446.2;22268.4;23755.3;23751.5;23559.7;28247.0
" Hai Phong Harbour";4515.0;4809.0;4588.0;5446.0;6509.0;7243.3;8575.5;9021.4;10919.9;11493.0;13074.0;13721.1;17896.0;21585.4;25787.2;23075.0;28845.4;31016.0;29356.0;34210.7
" Hai Phong Harbour- Export";493.0;665.0;803.0;850.0;939.0;1033.3;1336.0;1365.5;1894.6;1967.0;3239.0;3154.6;3231.9;4166.9;3893.4;4561.0;6510.9;8977.0;7443.0;8745.9
" Sai Gon Harbour";7212.0;7340.0;6820.0;7601.0;6971.0;9501.0;10275.0;13006.7;15080.1;12901.0;13557.0;13307.4;14181.3;13482.1;14008.1;13046.0;12025.0;11292.4;14672.1;15001.0
" Sai Gon Harbour- Export";2308.0;2692.0;2766.0;2866.0;3271.0;3167.1;2977.0;3978.6;3033.7;2533.0;3199.0;2544.9;2170.1;2866.7;4614.7;1485.0;1249.0;1369.6;3018.2;4826.0
" Quang Ninh Harbour";704.0;813.0;798.0;1011.0;676.4;1213.0;1525.0;1508.2;1744.4;1918.0;3177.0;3738.5;2805.4;3008.0;4736.2;6096.4;6414.6;7196.5;3144.0;3627.0
" Quang Ninh Harbour- Export";477.0;491.0;322.0;231.0;197.0;288.0;297.0;308.6;481.6;534.5;973.0;1148.2;1562.4;821.8;1673.6;2173.1;2313.5;2903.3;2318.0;2674.0
" Nghe An Harbour";310.0;462.0;480.0;480.3;474.3;603.1;739.9;763.3;872.0;913.4;1206.0;1156.2;1338.9;1331.6;1202.8;1595.0;1823.0;1959.0;2380.0;2646.6
" Nghe An Harbour- Export";56.0;34.3;52.6;45.6;17.3;95.2;150.0;74.1;145.8;193.0;365.0;369.1;488.2;522.1;605.4;784.0;947.0;997.0;1155.0;1122.0
" Da Nang Harbour";830.2;847.9;882.2;829.5;1023.4;1310.6;1987.3;1874.1;2178.5;2308.8;2255.0;2371.0;2736.9;3352.6;3204.8;2378.0;2775.0;3396.0;5010.0;6022.0
" Da Nang Harbour- Export";149.4;198.2;279.7;314.2;371.2;321.6;428.7;511.2;554.6;739.8;778.0;891.6;1241.2;1230.7;1352.2;1388.0;1594.0;1988.0;2361.0;2286.0
" Quy Nhon Harbour";447.0;554.7;838.1;955.0;974.6;1282.0;1306.0;1548.2;2036.7;2415.5;2449.0;2671.0;3208.9;3310.7;3855.6;4502.0;5493.0;5716.0;6256.0;6256.0
" Quy Nhon Harbour- Export";171.0;188.2;276.1;256.2;266.2;395.0;363.0;545.7;720.1;869.5;1076.0;1302.5;1603.2;1524.6;2016.0;2639.0;3331.0;3482.0;4187.0;4187.0
" Nha Trang Harbour";343.4;426.0;424.0;500.0;486.0;485.3;552.6;548.0;647.3;515.0;682.0;1068.8;2773.4;2619.4;2590.3;2529.4;2578.0;2544.5;1766.4;3283.0
" Nha Trang Harbour- Export";16.6;47.0;35.0;18.0;17.0;37.5;92.9;92.9;96.5;11.6;119.0;157.3;951.1;1127.2;1077.2;1178.0;1386.0;1457.0;1218.4;1901.0
" Can Tho Harbour";125.9;183.2;202.1;332.3;310.0;264.2;294.7;444.0;540.2;846.3;978.0;1011.5;1306.0;2843.1;2932.8;3376.0;1856.0;1969.0;2407.0;2364.0
" Can Tho Harbour- Export";66.1;73.3;113.2;208.1;210.6;123.2;189.1;97.2;191.5;74.0;54.0;72.6;413.0;2074.4;2097.8;2102.0;60.0;53.0;999.0;114.0
