"Volume of passengers carried by ownership by Items, Year and Ownership"

"Items";"Year";"Total";"State";"Non- State";"Foreign invested sector"
"Volume of passengers carried (Mill.persons)";"2000";763.6;61.7;702.0;..
"Volume of passengers carried (Mill.persons)";"2001";821.8;75.4;737.8;8.6
"Volume of passengers carried (Mill.persons)";"2002";878.5;106.3;763.5;8.7
"Volume of passengers carried (Mill.persons)";"2003";1076.0;252.6;812.1;11.3
"Volume of passengers carried (Mill.persons)";"2004";1202.9;254.9;936.8;11.2
"Volume of passengers carried (Mill.persons)";"2005";1349.6;296.9;1040.1;12.6
"Volume of passengers carried (Mill.persons)";"2006";1493.8;343.5;1135.7;14.6
"Volume of passengers carried (Mill.persons)";"2007";1638.0;344.0;1279.3;14.7
"Volume of passengers carried (Mill.persons)";"2008";1793.5;367.7;1411.5;14.3
"Volume of passengers carried (Mill.persons)";"2009";2016.9;383.0;1619.7;14.2
"Volume of passengers carried (Mill.persons)";"2010";2315.2;437.1;1863.0;15.1
"Volume of passengers carried (Mill.persons)";"2011";2476.1;475.9;1984.3;15.9
"Volume of passengers carried (Mill.persons)";"2012";2676.5;467.5;2192.6;16.4
"Volume of passengers carried (Mill.persons)";"2013";2839.9;481.8;2341.2;16.9
"Volume of passengers carried (Mill.persons)";"2014";3056.8;500.9;2538.6;17.3
"Index (Previous year = 100) (%)";"2000";104.7;103.8;104.8;..
"Index (Previous year = 100) (%)";"2001";107.6;122.3;105.1;..
"Index (Previous year = 100) (%)";"2002";106.9;140.9;103.5;102.0
"Index (Previous year = 100) (%)";"2003";122.5;237.6;106.4;129.0
"Index (Previous year = 100) (%)";"2004";111.8;100.9;115.4;99.7
"Index (Previous year = 100) (%)";"2005";112.2;116.5;111.0;111.7
"Index (Previous year = 100) (%)";"2006";110.7;115.7;109.2;116.1
"Index (Previous year = 100) (%)";"2007";109.7;100.1;112.6;100.7
"Index (Previous year = 100) (%)";"2008";109.5;106.9;110.3;97.3
"Index (Previous year = 100) (%)";"2009";112.5;104.2;114.8;99.3
"Index (Previous year = 100) (%)";"2010";114.8;114.1;115.0;106.3
"Index (Previous year = 100) (%)";"2011";106.9;108.9;106.5;105.3
"Index (Previous year = 100) (%)";"2012";108.1;98.2;110.5;103.1
"Index (Previous year = 100) (%)";"2013";106.1;103.1;106.8;103.0
"Index (Previous year = 100) (%)";"2014";107.6;104.0;108.4;102.4
