"Volume of passengers carried by type of transport (*) by Items, Year and Type of transport"

"Items";"Year";"Total";"Railways";"Road";"Inland waterways";"Aviation transport"
"Volume of passengers carried (Mill. Persons)";"1995";564.4;8.8;441.3;111.9;2.4
"Volume of passengers carried (Mill. Persons)";"1996";608.9;8.5;478.2;119.4;2.8
"Volume of passengers carried (Mill. Persons)";"1997";654.3;9.3;514.6;127.8;2.6
"Volume of passengers carried (Mill. Persons)";"1998";693.0;9.7;549.9;130.8;2.6
"Volume of passengers carried (Mill. Persons)";"1999";729.2;9.3;587.8;129.4;2.7
"Volume of passengers carried (Mill. Persons)";"2000";763.6;9.8;620.7;130.3;2.8
"Volume of passengers carried (Mill. Persons)";"2001";821.8;10.6;677.3;130.0;3.9
"Volume of passengers carried (Mill. Persons)";"2002";878.5;10.8;727.7;135.6;4.4
"Volume of passengers carried (Mill. Persons)";"2003";1076.0;11.6;931.3;128.6;4.5
"Volume of passengers carried (Mill. Persons)";"2004";1202.9;12.9;1041.9;142.6;5.5
"Volume of passengers carried (Mill. Persons)";"2005";1349.6;12.8;1173.4;156.9;6.5
"Volume of passengers carried (Mill. Persons)";"2006";1493.8;11.6;1331.6;143.2;7.4
"Volume of passengers carried (Mill. Persons)";"2007";1638.0;11.6;1473.0;144.5;8.9
"Volume of passengers carried (Mill. Persons)";"2008";1793.5;11.3;1629.0;143.0;10.2
"Volume of passengers carried (Mill. Persons)";"2009";2016.9;11.1;1843.6;151.3;10.9
"Volume of passengers carried (Mill. Persons)";"2010";2315.2;11.2;2132.3;157.5;14.2
"Volume of passengers carried (Mill. Persons)";"2011";2476.1;11.9;2306.7;142.4;15.1
"Volume of passengers carried (Mill. Persons)";"2012";2676.5;12.2;2504.3;145.0;15.0
"Volume of passengers carried (Mill. Persons)";"2013";2839.9;12.1;2660.5;150.4;16.9
"Volume of passengers carried (Mill. Persons)";"2014";3056.8;12.0;2863.5;156.9;24.4
"Volume of passengers carried (Mill. Persons)";"Prel.2015";3303.9;11.2;3099.2;162.4;31.1
"Index (Previous year = 100) - (%)";"1995";107.2;111.4;106.8;107.8;133.3
"Index (Previous year = 100) - (%)";"1996";107.9;96.6;108.4;106.7;116.7
"Index (Previous year = 100) - (%)";"1997";107.5;109.4;107.6;107.1;92.9
"Index (Previous year = 100) - (%)";"1998";105.9;104.3;106.9;102.4;100.0
"Index (Previous year = 100) - (%)";"1999";105.2;95.9;106.9;98.9;103.8
"Index (Previous year = 100) - (%)";"2000";104.7;105.4;105.6;100.8;103.7
"Index (Previous year = 100) - (%)";"2001";107.6;108.2;109.1;99.8;139.3
"Index (Previous year = 100) - (%)";"2002";106.9;101.9;107.4;104.3;112.8
"Index (Previous year = 100) - (%)";"2003";122.5;107.4;128.0;94.9;102.3
"Index (Previous year = 100) - (%)";"2004";111.8;111.2;111.9;110.9;122.2
"Index (Previous year = 100) - (%)";"2005";112.2;99.0;112.6;110.1;118.1
"Index (Previous year = 100) - (%)";"2006";110.7;90.6;113.5;91.2;114.6
"Index (Previous year = 100) - (%)";"2007";109.7;99.8;110.6;100.9;120.2
"Index (Previous year = 100) - (%)";"2008";109.5;97.4;110.6;99.0;114.6
"Index (Previous year = 100) - (%)";"2009";112.5;98.0;113.2;105.8;106.9
"Index (Previous year = 100) - (%)";"2010";114.8;100.9;115.7;104.1;130.3
"Index (Previous year = 100) - (%)";"2011";106.9;106.3;108.2;90.4;106.3
"Index (Previous year = 100) - (%)";"2012";108.1;102.5;108.6;101.8;99.3
"Index (Previous year = 100) - (%)";"2013";106.1;99.2;106.2;103.7;112.7
"Index (Previous year = 100) - (%)";"2014";107.6;99.2;107.6;104.3;144.4
"Index (Previous year = 100) - (%)";"Prel.2015";108.1;93.3;108.2;103.5;127.5
