"Volume of passengers traffic by ownership by Items, Year and Ownership"

"Items";"Year";"Total";"State";"Non- State";"Foreign invested sector"
"Volume of passengers traffic (Mill. persons.km)";"2000";32468.2;11087.7;21380.5;..
"Volume of passengers traffic (Mill. persons.km)";"2001";35624.2;13345.3;22095.6;183.3
"Volume of passengers traffic (Mill. persons.km)";"2002";39353.5;15310.0;23858.8;184.7
"Volume of passengers traffic (Mill. persons.km)";"2003";44378.9;16572.5;27556.7;249.7
"Volume of passengers traffic (Mill. persons.km)";"2004";51167.0;20300.0;30575.8;291.2
"Volume of passengers traffic (Mill. persons.km)";"2005";57695.7;22845.1;34249.6;601.0
"Volume of passengers traffic (Mill. persons.km)";"2006";63908.8;24380.2;38984.4;544.2
"Volume of passengers traffic (Mill. persons.km)";"2007";71864.6;27364.9;43868.5;631.2
"Volume of passengers traffic (Mill. persons.km)";"2008";78180.0;29004.8;48327.5;847.7
"Volume of passengers traffic (Mill. persons.km)";"2009";85202.7;30218.2;53398.9;1585.6
"Volume of passengers traffic (Mill. persons.km)";"2010";97931.8;34727.7;61519.1;1685.0
"Volume of passengers traffic (Mill. persons.km)";"2011";108709.0;36453.2;70476.4;1779.4
"Volume of passengers traffic (Mill. persons.km)";"2012";116043.7;36442.3;77561.9;2039.5
"Volume of passengers traffic (Mill. persons.km)";"2013";124528.2;39599.1;82690.5;2238.6
"Volume of passengers traffic (Mill. persons.km)";"2014";139060.4;41899.8;94798.2;2362.4
"Index (Previous year = 100) (%)";"2000";106.4;108.3;104.1;..
"Index (Previous year = 100) (%)";"2001";109.7;120.4;103.3;..
"Index (Previous year = 100) (%)";"2002";110.5;114.7;108.0;100.8
"Index (Previous year = 100) (%)";"2003";112.8;108.2;115.5;135.2
"Index (Previous year = 100) (%)";"2004";115.3;122.5;111.0;116.6
"Index (Previous year = 100) (%)";"2005";112.8;112.5;112.0;206.4
"Index (Previous year = 100) (%)";"2006";110.8;106.7;113.8;90.6
"Index (Previous year = 100) (%)";"2007";112.4;112.2;112.5;116.0
"Index (Previous year = 100) (%)";"2008";108.8;106.0;110.2;134.3
"Index (Previous year = 100) (%)";"2009";109.0;104.2;110.5;187.0
"Index (Previous year = 100) (%)";"2010";114.9;114.9;115.2;106.3
"Index (Previous year = 100) (%)";"2011";111.0;105.0;114.6;105.6
"Index (Previous year = 100) (%)";"2012";106.7;100.0;110.1;114.6
"Index (Previous year = 100) (%)";"2013";107.3;108.7;106.6;109.8
"Index (Previous year = 100) (%)";"2014";111.7;105.8;114.6;105.5
